"Location Properties"
"Location Name = PNNL TANK"
"Location ID = 7582ecd6-5f37-414a-9151-e2a0240a02a7"
"Latitude = 48.07961068916916 °"
"Longitude = -123.04619712913058 °"
""
"Report Properties"
"Start Time = 2024-07-22 13:35:36"
"Duration = 8.23:00:00"
"Readings = 216"
"Time Offset = -07:00:00"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 669249"
"Device Firmware = 2.32"
""
"Log Properties"
"Log Name = PNNL_TANK_7_22"
"Log Type = Linear"
"Log File Number = 14"
"Log ID = 6600e095-c54f-4df5-ab54-62c790b65907"
"Interval = 01:00:00"
""
""
"Date Time","Actual Conductivity (µS/cm) (661921)","Specific Conductivity (µS/cm) (661921)","Salinity (PSU) (661921)","Resistivity (Ω⋅cm) (661921)","Density (g/cm³) (661921)","Total Dissolved Solids (ppt) (661921)","pH (pH) (1111222)","pH mV (mV) (1111222)","ORP (mV) (1111222)","RDO Concentration (mg/L) (662696)","RDO Saturation (%Sat) (662696)","Oxygen Partial Pressure (Torr) (662696)","Temperature (°C) (669249)","External Voltage (V) (669249)","Battery Capacity (%) (669249)","Barometric Pressure (mm Hg) (669249)","Pressure (psi) (661661)","Depth (ft) (661661)"
"2024-07-22 13:35:36","12.68538","13.845727","0.005091613","78830.91","0.998082","0.008999723","7.16236","-15.916824","146.18063","9.242772","102.4652","152.88457","20.61228","0","93","763.14526","14.818574","34.249577"
"2024-07-22 14:35:36","50165.848","53465.76","35.74828","19.93388","1.0248536","34.752743","8.257988","-78.463554","220.85333","7.3014274","101.944145","151.83372","21.76858","0","93","763.14526","15.284693","35.025387"
"2024-07-22 15:35:36","50188.652","53485.887","35.763584","19.924822","1.0248641","34.765827","8.258053","-78.46832","234.01881","7.2959476","101.88354","151.74255","21.772417","0","93","763.14526","15.287663","35.036537"
"2024-07-22 16:35:36","50175.863","53465.812","35.748756","19.929901","1.0248512","34.752777","8.257441","-78.434944","239.1591","7.298149","101.916245","151.78981","21.77834","0","93","763.14526","15.294978","35.053215"
"2024-07-22 17:35:36","50187.816","53477.15","35.75733","19.925154","1.0248572","34.760147","8.257351","-78.430176","245.32462","7.2989526","101.93492","151.81732","21.779627","0","93","763.14526","15.295479","35.05372"
"2024-07-22 18:35:36","50160.242","53448.09","35.735466","19.936108","1.0248408","34.74126","8.257101","-78.41587","248.33345","7.3034716","101.98441","151.89111","21.77933","0","93","763.14526","15.296606","35.05414"
"2024-07-22 19:35:36","50149.61","53441.426","35.730267","19.940334","1.0248381","34.736927","8.256787","-78.3968","250.80348","7.3086267","102.04539","151.98297","21.775038","0","93","763.14526","15.296241","35.053272"
"2024-07-22 20:35:36","50134.316","53430.64","35.721943","19.946417","1.0248331","34.729916","8.256476","-78.37772","253.89815","7.3083353","102.02726","151.9572","21.769974","0","93","763.14526","15.295064","35.054234"
"2024-07-22 21:35:36","50136.207","53441.297","35.72959","19.945665","1.0248412","34.736843","8.256514","-78.37772","256.68762","7.303436","101.94911","151.84274","21.76203","0","93","763.14526","15.301796","35.06902"
"2024-07-22 22:35:36","50108.832","53425.914","35.717484","19.956562","1.0248355","34.726845","8.255987","-78.344345","257.35046","7.309835","102.00809","151.9337","21.749342","0","93","763.14526","15.300959","35.06398"
"2024-07-22 23:35:36","50091.36","53426.207","35.716923","19.963522","1.02484","34.727036","8.255984","-78.33958","259.77277","7.3120246","102.0068","151.936","21.73195","0","93","763.14526","15.303202","35.066925"
"2024-07-23 00:35:36","50065.9","53419.867","35.71132","19.973675","1.024841","34.722916","8.255739","-78.3205","261.13654","7.3176336","102.047104","152.00067","21.712824","0","93","763.14526","15.313007","35.091217"
"2024-07-23 01:35:36","50046.9","53425","35.714134","19.981258","1.0248497","34.726254","8.255764","-78.315735","264.503","7.323693","102.09087","152.07155","21.689493","0","93","763.14526","15.319655","35.109165"
"2024-07-23 02:35:36","49999.42","53405.617","35.698284","20.00023","1.0248457","34.71365","8.255647","-78.30143","262.362","7.3277593","102.08569","152.07083","21.66075","0","93","763.14526","15.321825","35.113823"
"2024-07-23 03:35:36","49978.79","53415.707","35.70455","20.008488","1.0248586","34.720207","8.255785","-78.30143","260.26868","7.3316555","102.09002","152.08443","21.631264","0","93","763.14526","15.328281","35.12467"
"2024-07-23 04:35:36","49912.633","53379.855","35.676186","20.035007","1.024846","34.696907","8.255683","-78.287125","266.53433","7.3363295","102.08008","152.07736","21.599281","0","93","763.14526","15.321622","35.113583"
"2024-07-23 05:35:36","49882.484","53385.797","35.679073","20.047117","1.0248578","34.700768","8.255427","-78.26328","263.63516","7.343631","102.11974","152.14491","21.564264","0","93","763.14526","15.324851","35.116627"
"2024-07-23 06:35:36","49844.543","53380.594","35.673702","20.062376","1.0248626","34.697384","8.255411","-78.253746","264.85587","7.348694","102.12778","152.1647","21.531816","0","93","763.14526","15.322558","35.111485"
"2024-07-23 07:35:36","49828.688","53394.715","35.68302","20.06876","1.0248777","34.706566","8.255126","-78.229904","267.03024","7.349209","102.08854","152.11313","21.503342","0","93","763.14526","15.323262","35.115868"
"2024-07-23 08:35:36","49805.246","53389.918","35.67857","20.078207","1.0248793","34.703445","8.255045","-78.22037","265.17535","7.354687","102.12811","152.17654","21.484747","0","93","763.14526","15.32781","35.123844"
"2024-07-23 09:35:36","49789.355","53383.223","35.673122","20.084614","1.024878","34.699097","8.254335","-78.17745","263.49213","7.36017","102.18376","152.26176","21.475288","0","93","763.14526","15.32443","35.11503"
"2024-07-23 10:35:36","49781.39","53381.02","35.671204","20.087828","1.024878","34.697662","8.253693","-78.139305","265.75708","7.358377","102.14708","152.20848","21.469488","0","93","763.14526","15.318668","35.102436"
"2024-07-23 11:35:36","49754.234","53355.098","35.6516","20.098791","1.024864","34.680813","8.252954","-78.09639","266.1195","7.3632054","102.197044","152.28365","21.466562","0","93","763.14526","15.314928","35.097244"
"2024-07-23 12:35:36","49743.125","53341.21","35.641247","20.103281","1.0248556","34.671787","8.252443","-78.06778","263.8736","7.371009","102.302414","152.44022","21.468369","0","93","763.14526","15.304866","35.07507"
"2024-07-23 13:35:36","49756.473","53351.992","35.64949","20.097887","1.024861","34.678795","8.252009","-78.04394","269.73868","7.365935","102.242676","152.35045","21.471601","0","93","763.14526","15.294563","35.05169"
"2024-07-23 14:35:36","49740.434","53329.016","35.632473","20.104368","1.0248464","34.66386","8.251231","-78.00102","268.14606","7.365114","102.23097","152.33171","21.476892","0","93","763.14526","15.29126","35.044"
"2024-07-23 15:35:36","49769.246","53341.21","35.6424","20.09273","1.0248494","34.671787","8.2505665","-77.96764","266.48187","7.3533354","102.10453","152.13918","21.494007","0","93","763.14526","15.286734","35.034107"
"2024-07-23 16:35:36","49768.83","53324.242","35.630344","20.092897","1.0248361","34.66076","8.249826","-77.9295","267.73596","7.35622","102.1651","152.22578","21.509144","0","93","763.14526","15.282232","35.024902"
"2024-07-23 17:35:36","49781.44","53327.312","35.633083","20.087807","1.0248355","34.66275","8.248945","-77.88181","269.00433","7.353387","102.14465","152.19304","21.518713","0","93","763.14526","15.270826","34.9995"
"2024-07-23 18:35:36","49799.336","53338.24","35.641636","20.08059","1.0248399","34.669857","8.248826","-77.877045","270.09155","7.3529882","102.15799","152.21107","21.526266","0","93","763.14526","15.267481","34.991272"
"2024-07-23 19:35:36","49793.418","53331.285","35.636436","20.082975","1.0248357","34.665337","8.248155","-77.8389","269.4478","7.339106","101.9632","151.92072","21.526829","0","93","763.14526","15.257671","34.96935"
"2024-07-23 20:35:36","49785.797","53319.293","35.627586","20.08605","1.0248281","34.65754","8.24772","-77.815056","268.17944","7.3299093","101.83634","151.73085","21.530342","0","93","763.14526","15.254769","34.962685"
"2024-07-23 21:35:36","49789.29","53325.527","35.63216","20.08464","1.024832","34.66159","8.247479","-77.80075","268.0459","7.327971","101.80802","151.68922","21.528053","0","93","763.14526","15.255803","34.965065"
"2024-07-23 22:35:36","49775.88","53319.4","35.62722","20.090052","1.0248305","34.65761","8.246928","-77.76737","266.01935","7.3244767","101.74284","151.59392","21.520504","0","93","763.14526","15.257258","34.9689"
